customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
0014-T10769,Male,0,No,Yes,37,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),58.66,2133.25,Yes
0015-T69735,Female,0,No,Yes,33,Yes,No,Fiber optic,No,Yes,No,Yes,No,No,Month-to-month,No,Mailed check,32.77,1082.42,No
0016-T72955,Female,0,Yes,No,44,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Month-to-month,No,Electronic check,36.04,1560.15,No
0017-T74925,Male,0,No,Yes,31,Yes,Yes,DSL,Yes,No,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),46.75,1430.62,No
0018-T77969,Female,0,No,Yes,66,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,101.45,6605.15,No
0019-T15311,Male,0,No,No,62,Yes,Yes,Fiber optic,No,No,Yes,No,No,Yes,Month-to-month,Yes,Mailed check,68.92,4262.73,No
0020-T93104,Female,0,Yes,No,54,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,76.78,4282.8,No
0021-T63707,Male,0,Yes,Yes,42,Yes,No,DSL,No,Yes,No,Yes,No,Yes,Two year,Yes,Electronic check,38.12,1640.18,No
0022-T95305,Female,0,Yes,No,21,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Mailed check,83.45,1761.64,Yes
0023-T38693,Male,0,Yes,Yes,67,Yes,No,DSL,Yes,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,101.88,6816.49,No
0024-T81932,Male,0,No,No,28,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Mailed check,38.01,987.92,Yes
0025-T35658,Female,0,No,No,39,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),23.84,942.08,Yes
0026-T94478,Female,0,No,Yes,44,Yes,No,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,No,Mailed check,84.4,3744.78,Yes
0027-T28431,Male,0,Yes,Yes,9,Yes,Yes,DSL,No,Yes,Yes,No,No,No,One year,No,Mailed check,99.59,956.44,Yes
0028-T12747,Female,0,No,No,44,Yes,No,DSL,No,No,Yes,No,Yes,No,Two year,Yes,Electronic check,86.43,3737.05,Yes
0029-T69150,Female,0,Yes,Yes,16,Yes,Yes,DSL,No,Yes,Yes,Yes,No,No,Month-to-month,No,Bank transfer (automatic),60.84,1026.85,No
0030-T75725,Female,0,Yes,Yes,1,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),83.35,126.93,No
0031-T94654,Male,1,Yes,Yes,16,Yes,No,DSL,No,No,Yes,No,Yes,Yes,Month-to-month,No,Bank transfer (automatic),117.69,1765.45,Yes
0032-T45773,Male,0,No,No,37,Yes,No,Fiber optic,No,Yes,No,No,No,Yes,Two year,No,Electronic check,80.36,2901.76,Yes
0033-T77435,Female,0,No,Yes,36,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,One year,Yes,Credit card (automatic),70.81,2480.98,Yes
0034-T66886,Female,0,Yes,Yes,62,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Bank transfer (automatic),71.98,4518.76,No
0035-T76803,Male,0,No,No,4,Yes,No,DSL,No,No,Yes,No,Yes,Yes,One year,Yes,Electronic check,64.9,256.67,Yes
0036-T41551,Female,0,Yes,No,24,Yes,No,DSL,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),86.78,2079.81,Yes
0037-T21394,Male,0,No,No,72,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,One year,No,Bank transfer (automatic),102.48,7450.01,No
0038-T79092,Female,0,Yes,No,21,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),90.08,1866.01,No
0039-T13890,Female,0,Yes,Yes,62,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,40.54,2523.06,No
0040-T51606,Female,0,Yes,Yes,34,Yes,No,DSL,No,No,Yes,No,Yes,No,Month-to-month,Yes,Mailed check,54.67,1795.0,No
0041-T90038,Male,0,No,No,54,Yes,Yes,Fiber optic,Yes,Yes,No,No,No,Yes,Month-to-month,No,Bank transfer (automatic),77.09,4198.43,No
0042-T97313,Male,1,No,No,19,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Credit card (automatic),117.32,2238.18,Yes
0043-T20627,Male,0,No,Yes,4,Yes,Yes,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,Yes,Credit card (automatic),24.86,123.19,No
0044-T18792,Male,0,No,Yes,38,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,No,Yes,Month-to-month,Yes,Credit card (automatic),36.86,1439.89,Yes
0045-T83969,Female,0,No,No,62,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Two year,Yes,Bank transfer (automatic),95.47,5930.8,No
0046-T53001,Female,0,Yes,Yes,31,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,37.23,1128.82,No
0047-T86552,Male,0,No,Yes,62,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),85.26,5362.91,No
0048-T33897,Female,0,Yes,No,39,Yes,No,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,117.43,4650.57,Yes
0049-T78148,Female,0,No,No,16,Yes,No,DSL,No,No,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),82.08,1324.98,No
0050-T33483,Male,0,No,No,72,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,No,No,Month-to-month,Yes,Electronic check,65.91,4731.9,No
0051-T58555,Female,0,No,No,31,No,No phone service,Fiber optic,Yes,No,No,Yes,No,No,Month-to-month,No,Bank transfer (automatic),101.26,3215.03,No
0052-T27159,Female,0,Yes,Yes,22,Yes,No,DSL,No,Yes,No,No,Yes,No,One year,No,Bank transfer (automatic),95.18,2117.86,Yes
0053-T90077,Male,0,No,No,59,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),89.09,5288.92,Yes
0054-T45920,Female,0,Yes,Yes,55,Yes,No,Fiber optic,No,No,No,No,Yes,No,Two year,Yes,Credit card (automatic),29.72,1673.39,No
0055-T77121,Female,0,No,Yes,8,Yes,Yes,DSL,No,Yes,Yes,No,No,Yes,One year,No,Electronic check,81.18,644.97,Yes
0056-T79479,Female,0,Yes,Yes,68,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Electronic check,19.33,1249.75,No
0057-T99475,Male,0,Yes,No,61,Yes,No,DSL,Yes,No,Yes,Yes,Yes,No,Month-to-month,Yes,Credit card (automatic),23.65,1361.09,No
0058-T29457,Male,0,Yes,Yes,63,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,No,Bank transfer (automatic),21.86,1336.5,No
0059-T76557,Female,0,Yes,No,21,Yes,Yes,Fiber optic,No,No,Yes,No,No,No,One year,No,Electronic check,28.89,651.0,No
0060-T87189,Female,0,No,No,31,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),61.25,1932.5,No
0061-T88953,Female,0,No,No,46,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),112.62,5211.56,No
0062-T62995,Male,0,Yes,Yes,1,Yes,Yes,Fiber optic,No,No,No,No,No,No,Two year,No,Credit card (automatic),25.49,-14.28,No
0063-T50757,Male,0,No,No,51,Yes,No,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Credit card (automatic),90.13,4668.12,No
0064-T19692,Male,0,Yes,No,13,Yes,No,Fiber optic,Yes,No,Yes,No,Yes,Yes,Month-to-month,No,Bank transfer (automatic),68.73,1019.77,Yes
0065-T55758,Female,0,No,Yes,36,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),45.58,1571.18,No
0066-T82409,Female,0,No,No,26,Yes,No,DSL,No,No,Yes,No,No,Yes,Month-to-month,No,Bank transfer (automatic),49.69,1275.83,No
0067-T81211,Female,0,No,Yes,23,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,20.29,420.55,No
0068-T75697,Female,1,Yes,Yes,63,No,No phone service,DSL,No,Yes,No,No,No,No,One year,Yes,Bank transfer (automatic),88.04,5520.99,No
0069-T47065,Female,0,No,No,69,Yes,No,DSL,No,No,Yes,Yes,No,No,Month-to-month,No,Mailed check,28.04,1896.31,Yes
0070-T42606,Male,0,Yes,No,25,Yes,No,DSL,Yes,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),21.47,434.15,No
0071-T21534,Female,0,No,No,53,Yes,Yes,DSL,No,Yes,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),64.83,3521.26,No
0072-T50397,Female,1,Yes,No,14,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,65.73,931.7,No
0073-T11016,Female,0,No,Yes,28,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),83.47,2341.36,No
0074-T99789,Male,0,Yes,No,27,Yes,Yes,Fiber optic,Yes,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,88.64,2413.54,Yes
0075-T65591,Female,0,Yes,No,58,No,No phone service,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Mailed check,68.88,3838.94,No
0076-T99812,Male,0,Yes,Yes,72,Yes,No,Fiber optic,Yes,Yes,No,Yes,No,Yes,Month-to-month,Yes,Electronic check,88.8,6369.93,No
0077-T33247,Male,0,No,No,20,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),43.02,854.64,No
0078-T34300,Male,0,Yes,No,9,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),32.37,351.78,Yes
0079-T84065,Male,0,No,No,3,Yes,No,DSL,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Mailed check,111.15,338.69,Yes
0080-T92798,Male,0,Yes,No,61,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,No,Month-to-month,No,Electronic check,55.33,3459.45,Yes
0081-T19268,Female,0,Yes,No,3,Yes,Yes,Fiber optic,No,No,Yes,No,No,Yes,One year,Yes,Mailed check,27.01,158.78,No
0082-T96807,Female,0,Yes,Yes,5,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,100.71,450.55,No
0083-T22185,Male,0,No,No,71,No,No phone service,Fiber optic,No,No,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,79.31,5617.08,No
0084-T73704,Male,0,No,Yes,15,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Electronic check,77.19,1178.18,No
0085-T96779,Male,0,No,Yes,37,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),31.26,1113.14,No
0086-T49099,Female,1,No,Yes,48,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,No,One year,Yes,Credit card (automatic),93.74,4467.99,No
0087-T18571,Female,1,No,Yes,60,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,38.36,2296.77,No
0088-T48044,Male,0,No,No,64,Yes,No,Fiber optic,Yes,Yes,No,No,No,No,Two year,Yes,Credit card (automatic),22.21,1414.13,No
0089-T61214,Female,0,No,No,49,Yes,No,Fiber optic,No,No,No,Yes,Yes,No,Month-to-month,No,Mailed check,34.11,1630.37,No
0090-T71228,Female,1,Yes,Yes,16,Yes,No,Fiber optic,Yes,No,No,Yes,No,Yes,One year,Yes,Bank transfer (automatic),88.06,1387.87,No
0091-T58984,Male,0,Yes,No,27,Yes,No,DSL,Yes,Yes,No,No,Yes,No,Month-to-month,No,Bank transfer (automatic),97.12,2639.68,Yes
0092-T50774,Male,0,No,No,43,Yes,No,DSL,No,Yes,Yes,No,Yes,Yes,Month-to-month,No,Credit card (automatic),42.66,1830.71,No
0093-T12568,Female,0,No,Yes,11,No,No phone service,Fiber optic,No,No,Yes,Yes,No,No,Month-to-month,Yes,Bank transfer (automatic),49.5,494.06,No
0094-T72592,Female,0,No,No,69,Yes,No,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,No,Electronic check,34.27,2445.75,No
0095-T77563,Female,0,No,Yes,70,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Credit card (automatic),63.28,4578.93,Yes
0096-T12695,Male,1,No,Yes,71,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),40.01,2890.59,No
0097-T58190,Male,0,Yes,No,2,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,116.41,233.22,Yes
0098-T15258,Male,0,No,No,48,Yes,No,Fiber optic,No,No,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,94.7,4525.27,Yes
0099-T97538,Female,0,No,No,20,Yes,No,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),77.71,1549.51,No
0100-T49504,Female,0,No,Yes,7,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),90.13,630.28,Yes
0101-T43159,Male,0,Yes,Yes,63,Yes,Yes,DSL,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,34.69,2182.26,No
0102-T23986,Female,0,Yes,No,58,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Two year,No,Credit card (automatic),92.36,5372.76,Yes
0103-T71858,Male,0,Yes,Yes,29,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),52.63,1555.79,No
0104-T22666,Female,0,Yes,No,31,Yes,No,DSL,No,Yes,No,No,No,No,Two year,Yes,Credit card (automatic),64.95,2100.52,No
0105-T48660,Male,0,No,No,19,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,106.53,2054.38,Yes
0106-T13561,Female,0,Yes,No,15,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,One year,Yes,Electronic check,112.42,1660.35,Yes
0107-T36854,Female,1,Yes,No,24,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),94.86,2233.65,Yes
0108-T74505,Male,0,Yes,Yes,59,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,No,Credit card (automatic),94.76,5602.69,Yes
0109-T62251,Male,0,Yes,No,44,Yes,No,DSL,No,Yes,No,No,No,No,Month-to-month,No,Electronic check,92.45,4062.67,Yes
0110-T32662,Male,0,Yes,Yes,8,Yes,Yes,DSL,Yes,Yes,No,No,Yes,No,One year,Yes,Bank transfer (automatic),80.64,718.76,No
0111-T18392,Male,0,No,Yes,50,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Electronic check,37.55,1912.79,No
0112-T40535,Male,0,Yes,Yes,60,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Electronic check,76.84,4567.35,No
0113-T88603,Female,0,Yes,Yes,39,Yes,Yes,DSL,No,No,Yes,No,No,Yes,Month-to-month,No,Credit card (automatic),23.66,911.42,No
0114-T62256,Male,0,Yes,Yes,60,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),21.07,1227.22,No
0115-T99135,Male,0,No,Yes,66,Yes,Yes,DSL,Yes,No,No,No,No,Yes,Two year,Yes,Credit card (automatic),101.8,6807.83,No
0116-T45222,Male,0,No,No,14,Yes,No,DSL,Yes,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),72.05,970.36,Yes
0117-T87373,Male,0,No,Yes,52,Yes,No,DSL,Yes,No,No,Yes,Yes,No,Two year,No,Credit card (automatic),19.64,958.45,No
0118-T89575,Male,0,No,No,3,Yes,No,DSL,Yes,Yes,Yes,No,Yes,No,Month-to-month,Yes,Mailed check,45.27,111.76,Yes
0119-T94651,Female,0,No,Yes,22,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Two year,Yes,Mailed check,86.29,1833.63,Yes
0120-T73335,Male,0,No,No,26,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),111.94,2846.53,Yes
0121-T20965,Male,0,No,No,36,Yes,No,DSL,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,102.41,3711.03,Yes
0122-T34538,Male,0,No,Yes,42,Yes,Yes,Fiber optic,No,Yes,No,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),62.51,2628.91,No
0123-T80592,Female,0,Yes,No,36,Yes,Yes,Fiber optic,Yes,No,Yes,No,No,No,One year,Yes,Credit card (automatic),46.56,1790.4,No
0124-T18110,Female,0,Yes,No,28,Yes,Yes,DSL,No,No,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,49.01,1483.6,Yes
0125-T89309,Male,0,No,Yes,28,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,Yes,One year,Yes,Mailed check,91.36,2569.69,No
0126-T37266,Male,1,Yes,Yes,48,Yes,No,Fiber optic,Yes,No,No,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),98.44,4766.22,No
0127-T62992,Female,1,No,Yes,50,Yes,No,DSL,No,No,Yes,Yes,Yes,Yes,One year,No,Electronic check,54.55,2718.48,No
0128-T92948,Female,0,Yes,Yes,49,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,No,Two year,No,Credit card (automatic),80.29,3985.85,No
0129-T16910,Female,0,Yes,Yes,27,Yes,No,DSL,Yes,Yes,No,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),92.56,2500.56,Yes
0130-T10206,Male,0,No,Yes,4,No,No phone service,DSL,Yes,No,Yes,No,No,No,Month-to-month,No,Credit card (automatic),102.57,391.31,No
0131-T97054,Male,0,Yes,Yes,55,Yes,No,Fiber optic,No,No,No,Yes,Yes,Yes,One year,No,Electronic check,82.09,4483.63,No
0132-T97897,Female,0,No,Yes,63,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,Yes,One year,No,Credit card (automatic),104.43,6571.33,No
0133-T33419,Male,0,No,No,16,Yes,No,Fiber optic,No,No,No,Yes,No,No,Month-to-month,No,Electronic check,46.15,740.68,Yes
0134-T60636,Female,0,Yes,Yes,54,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Mailed check,87.88,4797.38,No
0135-T60015,Female,1,No,No,8,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,No,Two year,No,Electronic check,58.21,468.01,Yes
0136-T64268,Female,0,Yes,Yes,67,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),110.86,7369.3,No
0137-T97939,Male,0,Yes,Yes,72,Yes,No,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,No,Credit card (automatic),39.88,2943.97,No
0138-T28141,Female,0,No,Yes,15,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,96.74,1455.75,Yes
0139-T90356,Female,0,No,Yes,15,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Credit card (automatic),111.17,1715.83,Yes
0140-T81910,Male,0,No,No,12,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Two year,No,Bank transfer (automatic),86.24,931.93,Yes
0141-T66044,Female,0,No,No,72,Yes,No,DSL,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),96.9,6915.87,No
0142-T77214,Male,0,No,Yes,62,Yes,No,Fiber optic,No,No,Yes,No,No,No,One year,Yes,Bank transfer (automatic),106.62,6476.26,No
0143-T43827,Female,0,Yes,No,40,Yes,No,DSL,Yes,No,Yes,Yes,No,Yes,Two year,Yes,Electronic check,48.95,1922.47,No
0144-T65820,Male,0,No,Yes,52,Yes,No,Fiber optic,Yes,No,No,No,No,No,One year,Yes,Bank transfer (automatic),30.45,1625.64,No
0145-T72623,Female,0,Yes,No,67,Yes,Yes,DSL,Yes,No,No,No,Yes,Yes,One year,Yes,Credit card (automatic),111.65,7491.29,No
0146-T91734,Female,1,No,Yes,8,No,No phone service,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,21.75,183.22,Yes
0147-T85450,Female,0,Yes,No,50,Yes,Yes,DSL,No,Yes,Yes,No,No,No,One year,No,Electronic check,66.46,3403.9,No
0148-T32299,Female,1,Yes,No,47,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),50.25,2379.95,No
0149-T53585,Female,0,Yes,No,48,Yes,No,DSL,No,No,No,Yes,No,No,Month-to-month,Yes,Electronic check,73.46,3527.12,No
0150-T74044,Male,0,Yes,Yes,17,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Mailed check,116.93,1916.93,Yes
0151-T52557,Male,0,Yes,No,9,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Credit card (automatic),22.57,254.49,No
0152-T59080,Female,0,No,Yes,53,Yes,No,DSL,Yes,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,94.96,5152.15,No
0153-T12693,Female,1,Yes,No,14,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Electronic check,20.46,188.9,No
0154-T79163,Female,0,No,Yes,10,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,No,No,Two year,Yes,Electronic check,44.12,454.22,No
0155-T35939,Male,0,Yes,Yes,39,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),88.56,3429.89,No
0156-T58925,Male,0,No,Yes,46,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,45.48,2024.44,No
0157-T52941,Female,0,Yes,No,19,Yes,Yes,DSL,No,No,Yes,Yes,No,No,Month-to-month,Yes,Credit card (automatic),79.07,1463.81,Yes
0158-T31834,Male,0,Yes,No,21,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),114.68,2380.25,Yes
0159-T28047,Female,0,No,Yes,47,Yes,Yes,DSL,No,No,Yes,No,No,Yes,Month-to-month,No,Bank transfer (automatic),105.47,4932.1,Yes
0160-T36105,Female,0,No,Yes,15,Yes,No,DSL,Yes,No,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,101.63,1494.19,Yes
0161-T85766,Female,0,Yes,Yes,4,Yes,Yes,DSL,No,No,Yes,Yes,No,No,Month-to-month,No,Mailed check,37.35,151.25,Yes
0162-T25707,Male,1,Yes,No,64,Yes,No,DSL,No,No,Yes,No,No,Yes,Month-to-month,Yes,Mailed check,45.18,2854.7,Yes
0163-T31976,Female,0,No,No,20,Yes,No,Fiber optic,Yes,No,No,No,Yes,No,One year,Yes,Mailed check,96.76,1972.56,No
0164-T54262,Female,0,Yes,No,60,Yes,No,Fiber optic,No,No,No,Yes,No,Yes,Month-to-month,Yes,Bank transfer (automatic),91.05,5423.14,No
0165-T33776,Female,0,Yes,No,54,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Two year,No,Mailed check,47.13,2538.77,No
0166-T40080,Male,0,No,No,23,Yes,Yes,DSL,No,Yes,No,No,Yes,No,Two year,Yes,Electronic check,60.89,1513.31,No
0167-T76842,Male,0,Yes,Yes,22,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,82.85,1795.78,No
0168-T71373,Male,0,Yes,Yes,10,Yes,Yes,DSL,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),70.55,654.83,Yes
0169-T16776,Female,0,No,Yes,46,Yes,No,DSL,No,No,Yes,No,No,Yes,Month-to-month,No,Credit card (automatic),63.61,2862.11,Yes
