customer_id,credit_score,country,gender,age,tenure,balance,products_number,credit_card,active_member,estimated_salary,churn
15600051,539,Spain,Male,45,5,67475.12,4,1,1,104125.41,0
15600052,643,France,Female,55,8,16990.43,3,1,0,131068.3,0
15600053,847,France,Female,26,9,21336.08,1,1,1,199039.84,1
15600054,443,France,Female,31,10,136128.35,3,0,0,52993.42,1
15600055,656,Spain,Male,68,6,38608.93,2,1,1,15699.79,1
15600056,655,France,Male,71,10,25780.4,3,1,0,195800.6,0
15600057,804,Germany,Female,62,10,164865.05,4,1,1,144904.88,0
15600058,369,Germany,Male,46,0,168536.22,4,0,0,58181.16,1
15600059,692,Spain,Male,22,0,27245.7,4,1,1,196011.73,0
15600060,621,Spain,Female,22,3,3104.44,2,0,0,28391.62,1
15600061,626,Germany,Female,43,2,19543.5,4,0,1,70017.8,1
15600062,658,Germany,Male,30,8,20504.81,2,1,1,86671.08,0
15600063,535,France,Male,65,1,53922.11,3,0,1,93944.1,0
15600064,542,France,Female,69,8,51785.15,1,0,1,86746.41,1
15600065,463,France,Male,48,7,45675.47,1,1,1,81145.64,0
15600066,795,France,Female,51,8,5906.73,1,1,1,66336.86,0
15600067,494,France,Female,51,2,89477.59,1,1,1,134077.35,1
15600068,385,France,Female,36,10,10952.62,1,1,0,180819.62,1
15600069,398,Germany,Male,40,0,110353.16,2,1,0,153147.53,0
15600070,415,Spain,Female,70,7,14383.32,3,0,1,48705.21,1
15600071,692,France,Male,57,1,70387.26,4,1,1,15339.7,0
15600072,610,Germany,Female,69,4,147029.25,3,1,0,103560.79,1
15600073,536,France,Female,40,1,17754.66,4,1,0,156726.05,1
15600074,809,Germany,Female,19,0,113116.2,2,1,0,180194.28,0
15600075,720,France,Male,53,2,23441.23,4,1,0,77120.66,0
15600076,518,France,Female,61,10,86498.91,3,0,0,98894.15,0
15600077,663,Germany,Male,20,10,217573.7,2,1,1,18625.79,0
15600078,536,Germany,Female,58,9,29379.06,4,1,0,46088.46,1
15600079,767,France,Female,36,2,138730.56,1,1,0,151108.4,0
15600080,686,Germany,Male,47,10,11182.74,3,1,0,68540.28,0
15600081,601,Germany,Male,58,8,96144.92,4,0,0,109065.81,0
15600082,370,Germany,Male,57,10,21103.87,1,1,1,71899.58,1
15600083,673,France,Male,74,9,29508.4,3,1,1,49369.93,0
15600084,466,France,Male,56,0,30117.28,4,1,0,170777.02,0
15600085,664,Spain,Female,26,0,100284.94,1,1,0,127741.36,0
15600086,840,Spain,Male,68,8,86699.56,4,1,0,90636.75,0
15600087,503,France,Female,57,5,14354.52,3,1,1,173001.18,0
15600088,409,France,Female,49,8,148306.53,1,0,1,25902.24,0
15600089,842,France,Female,60,9,29467.35,4,1,1,45344.51,0
15600090,694,Germany,Male,57,4,28842.94,4,1,0,19629.13,0
15600091,538,Germany,Male,35,1,15716.13,2,1,0,66572.57,1
15600092,375,Germany,Female,71,4,15833.87,1,1,0,161030.5,1
15600093,847,France,Female,55,2,58885.96,1,1,1,122777.65,0
15600094,390,France,Male,70,1,37345.09,3,0,0,66778.13,1
15600095,821,Germany,Female,41,8,42618.57,3,0,1,175458.48,1
15600096,664,France,Male,35,10,39591.69,3,0,1,75911.4,0
15600097,760,Germany,Female,60,7,92439.27,3,1,1,48269.82,0
15600098,810,France,Female,21,3,6928.72,4,0,0,167908.08,0
15600099,397,Spain,Female,64,8,29193.39,3,1,1,162751.49,0
15600100,784,France,Female,23,3,250000.0,4,0,0,114418.88,0
15600101,690,Germany,Female,53,7,52500.28,4,1,1,63384.67,0
15600102,534,France,Female,67,6,11191.22,2,1,1,93116.6,0
15600103,386,Germany,Male,43,8,55732.76,4,1,0,67096.94,0
15600104,750,France,Male,26,3,145379.96,3,1,1,27358.2,1
15600105,645,France,Female,71,1,35812.0,2,1,0,16507.56,1
15600106,566,France,Female,74,0,62530.34,2,0,0,47952.89,1
15600107,783,France,Male,55,0,196787.9,3,0,0,137638.92,1
15600108,487,Spain,Male,18,9,64931.41,4,1,0,49790.03,0
15600109,509,France,Female,40,6,85784.92,1,1,1,175543.66,1
15600110,748,Germany,Male,26,1,1743.32,3,1,0,135303.0,0
15600111,714,Spain,Female,45,7,130411.59,4,1,1,35959.09,0
15600112,378,France,Male,31,4,142030.31,2,1,0,161830.3,0
15600113,844,Germany,Female,39,1,72575.61,4,0,1,122319.12,0
15600114,612,Spain,Male,22,3,7667.46,4,0,1,166196.59,0
15600115,796,Germany,Male,32,5,250000.0,3,1,0,75682.63,0
15600116,823,Spain,Male,32,2,92221.77,3,1,0,161613.23,1
15600117,448,Spain,Female,52,7,46900.12,3,1,0,125618.36,0
15600118,431,France,Male,48,5,166922.82,4,0,1,180911.76,0
15600119,375,Germany,Female,42,6,41879.05,1,1,0,174862.92,0
15600120,447,Spain,Female,27,9,82166.29,4,1,1,150168.37,0
15600121,543,France,Male,55,0,20292.26,3,1,0,20459.79,0
15600122,823,France,Female,68,10,178763.87,2,1,0,60469.6,0
15600123,539,Spain,Female,52,4,60253.25,1,1,0,97583.82,1
15600124,398,Spain,Female,52,2,21582.22,3,0,0,56869.55,1
15600125,761,Spain,Male,73,3,7190.74,3,1,1,126178.2,0
15600126,439,France,Female,72,4,183350.27,3,1,0,15796.74,0
15600127,541,France,Female,71,0,17589.37,3,1,0,143715.18,1
15600128,404,Spain,Male,23,1,250000.0,4,1,1,10237.83,0
15600129,383,Germany,Female,63,3,12316.29,1,1,1,193440.32,1
15600130,604,Spain,Male,64,5,49410.78,3,0,1,96322.41,0
15600131,582,Germany,Male,34,9,60427.89,1,0,0,109995.99,0
15600132,405,France,Female,25,10,22625.36,4,0,1,14224.5,0
15600133,804,France,Male,54,7,250000.0,1,1,0,171265.16,0
15600134,834,France,Male,48,5,68924.81,3,1,0,162920.28,0
15600135,755,France,Male,24,1,67754.07,4,1,0,48380.95,0
15600136,579,Germany,Female,71,7,165656.95,3,1,1,24779.42,0
15600137,570,Germany,Male,51,3,69696.87,4,0,1,69879.57,1
15600138,373,Spain,Male,73,6,51898.39,3,1,1,21236.64,0
15600139,832,Spain,Male,34,4,51740.33,1,1,0,24293.36,0
15600140,840,Germany,Male,54,9,100302.96,1,1,1,26224.09,0
15600141,481,France,Male,23,6,34368.95,2,1,1,87412.78,0
15600142,702,France,Female,30,3,57169.27,4,0,1,181193.62,1
15600143,701,Germany,Female,31,6,31234.07,1,1,0,21999.38,1
15600144,493,France,Female,39,6,179220.61,4,1,1,153905.52,0
15600145,821,Germany,Male,43,8,18391.96,1,1,1,10934.5,1
15600146,582,Germany,Male,25,7,68632.67,2,1,0,141436.18,0
15600147,375,Germany,Female,54,7,30928.44,2,1,0,102929.27,1
15600148,582,France,Male,63,6,64409.37,4,0,1,46667.85,0
15600149,539,Germany,Female,29,3,58912.1,4,1,1,175950.34,0
15600150,509,France,Male,28,6,49759.19,4,1,1,125037.3,0
15600151,745,France,Male,67,0,48067.18,3,0,0,181214.08,1
15600152,536,Spain,Female,26,3,46528.96,4,1,0,146048.98,0
15600153,619,Germany,Female,70,4,42359.48,4,1,0,46146.48,0
15600154,496,Spain,Female,68,8,12282.47,2,1,0,60713.27,0
15600155,397,Spain,Female,68,9,210116.04,3,1,0,140067.11,1
15600156,495,Germany,Male,50,6,250000.0,4,1,1,111045.09,1
15600157,469,France,Male,36,10,49687.08,3,1,0,132790.83,1
15600158,767,France,Male,27,10,47001.55,1,1,0,138390.36,0
15600159,714,Germany,Female,55,0,41201.52,4,1,0,84887.1,1
15600160,765,Germany,Female,20,6,19694.69,4,1,1,190651.39,0
15600161,534,France,Male,51,5,6342.68,4,0,1,136568.25,0
15600162,574,France,Female,63,1,1882.87,4,1,1,137388.49,0
15600163,539,Germany,Male,49,4,66402.38,3,1,0,26418.89,1
15600164,533,France,Female,73,0,98621.13,2,0,0,85518.76,1
15600165,421,France,Male,70,5,7730.81,3,1,1,190270.73,1
15600166,731,Spain,Female,63,10,53640.98,3,0,0,67214.53,0
15600167,450,Spain,Male,61,5,14919.38,2,1,1,53455.35,0
15600168,502,Spain,Female,48,2,13513.37,2,1,0,59287.33,1
15600169,523,France,Female,63,8,106191.35,4,0,0,21998.43,1
15600170,766,Spain,Female,60,10,203967.85,4,1,0,88253.28,0
15600171,591,France,Female,42,2,189324.49,1,0,0,147542.96,0
15600172,545,Germany,Male,48,3,26698.4,2,1,0,106039.04,0
15600173,584,France,Male,44,7,23945.57,4,1,0,161263.49,0
15600174,651,Spain,Male,50,7,56696.7,4,1,0,27682.19,0
15600175,680,Germany,Female,69,0,250000.0,4,1,0,130237.51,0
15600176,668,Germany,Male,32,0,3591.4,4,1,0,123048.42,0
15600177,787,Spain,Female,53,5,215844.06,2,1,1,118004.61,0
15600178,744,France,Male,59,10,12990.12,4,1,1,92314.78,0
15600179,526,Germany,Female,56,3,33951.09,4,1,0,191036.23,0
15600180,754,Germany,Female,38,6,25997.64,2,1,0,15251.54,0
15600181,498,France,Female,51,6,93442.8,1,1,0,185181.23,0
15600182,656,Germany,Male,36,0,107396.66,4,1,1,184936.03,0
15600183,595,Spain,Female,25,4,114530.64,4,1,0,199454.59,0
15600184,663,France,Male,35,8,6514.78,4,1,0,169275.24,1
15600185,491,Spain,Female,29,0,6764.21,2,0,1,185042.2,1
15600186,490,Spain,Male,39,5,187743.55,4,1,1,32535.75,0
15600187,639,France,Male,30,2,126862.19,1,1,1,171386.04,0
15600188,446,France,Male,29,7,200103.44,2,1,0,50137.03,0
15600189,750,France,Male,20,8,94272.04,1,1,1,106544.44,0
15600190,649,France,Female,39,9,4769.19,3,0,0,129514.59,0
15600191,677,Germany,Female,55,1,92878.52,4,1,0,86343.26,0
15600192,694,Spain,Male,31,10,186994.32,4,0,1,88837.87,0
15600193,622,Germany,Male,71,4,32269.42,4,1,0,36877.42,0
15600194,695,France,Male,70,3,9100.62,3,1,0,104969.7,1
15600195,418,France,Male,53,9,6836.92,3,1,1,145263.56,0
15600196,370,Spain,Female,66,2,9444.22,1,1,1,21167.56,0
15600197,840,Germany,Female,65,8,7870.21,2,1,1,70142.93,0
15600198,557,Germany,Female,62,7,71308.62,3,1,1,187167.1,0
15600199,367,France,Male,26,1,21403.5,1,1,0,102632.08,1
15600200,791,France,Male,21,0,3398.17,2,1,1,161408.04,1
15600201,545,Germany,Male,18,0,192779.69,3,1,1,21249.29,0
15600202,774,Spain,Male,21,0,91655.01,2,0,0,146739.86,0
15600203,850,France,Male,33,4,168585.63,3,1,0,186102.41,0
15600204,744,France,Female,44,3,53982.47,2,1,0,144902.12,0
15600205,841,France,Female,74,7,168994.74,2,1,0,32474.41,0
15600206,681,Spain,Female,61,9,99592.06,4,1,1,153221.57,0
15600207,694,Spain,Female,39,8,110245.4,4,0,0,85299.16,0
15600208,410,France,Male,61,9,33876.67,3,1,0,113312.9,0
15600209,592,Germany,Male,19,4,36567.54,4,1,0,155280.38,1
15600210,451,Spain,Female,42,2,221824.19,2,1,1,23183.62,0
15600211,823,France,Male,33,4,57567.45,4,1,1,158339.96,0
15600212,638,France,Female,71,8,250000.0,2,1,1,84488.3,0
15600213,445,Spain,Male,51,2,45882.76,4,1,0,174555.26,1
15600214,824,France,Male,45,4,190388.76,4,0,0,12453.46,0
15600215,806,France,Male,39,4,12643.6,2,1,1,99053.45,0
15600216,463,France,Male,27,0,18601.09,3,1,1,171539.78,1
15600217,695,Germany,Male,21,9,96170.7,2,0,1,149253.33,0
15600218,732,Spain,Female,29,10,163365.07,1,1,0,189886.38,0
15600219,616,Germany,Female,53,8,54766.72,2,1,0,189203.25,1
15600220,670,France,Male,66,3,85416.86,1,0,0,173551.65,0
15600221,500,Spain,Male,39,4,68770.88,2,1,0,70373.71,0
15600222,351,Spain,Male,71,9,23722.98,1,0,1,50457.97,0
15600223,505,Germany,Female,43,1,159484.01,1,1,1,48081.84,0
15600224,589,France,Male,36,1,144342.22,1,1,0,77242.23,0
15600225,819,Spain,Female,67,10,40215.61,1,1,0,11627.31,1
15600226,439,Germany,Female,48,8,1289.2,4,0,1,157929.33,0
15600227,843,France,Female,58,0,21724.3,2,1,0,103913.49,1
15600228,668,Germany,Female,34,9,691.66,1,0,1,188196.77,0
15600229,728,France,Male,70,1,250000.0,4,1,0,81286.86,0
15600230,627,France,Male,52,1,131014.85,3,0,0,131477.01,1
15600231,698,Spain,Male,52,7,123258.76,2,1,1,143398.83,0
15600232,471,Spain,Female,62,7,134331.1,2,1,1,52663.11,1
15600233,401,France,Female,55,8,36581.79,3,0,0,12678.12,1
15600234,482,Spain,Male,30,5,7636.74,1,1,1,11621.17,1
15600235,811,France,Female,65,0,79712.09,4,1,1,90068.25,0
15600236,594,France,Male,49,4,86118.92,2,1,1,128863.55,0
15600237,547,Spain,Female,19,10,53469.19,3,1,1,23425.15,0
15600238,388,France,Male,35,9,250000.0,2,0,1,118528.0,0
15600239,512,Spain,Male,59,10,55010.28,3,0,0,85212.54,0
15600240,657,Germany,Male,49,5,40512.94,3,0,0,65158.25,0
15600241,491,Germany,Female,18,8,19586.33,4,1,0,112720.13,1
15600242,847,Spain,Male,48,0,35390.34,3,1,0,17346.5,0
15600243,431,Spain,Female,64,3,73611.51,3,0,0,115937.86,0
15600244,809,France,Female,53,2,21726.1,1,0,0,55065.48,0
15600245,703,France,Female,35,5,41427.48,1,1,1,59305.08,0
15600246,459,Spain,Female,68,1,23733.04,4,0,0,178045.56,1
15600247,702,France,Female,51,8,217618.11,3,1,0,112458.55,0
15600248,792,France,Female,61,2,160478.5,2,0,0,118204.6,0
15600249,363,France,Male,51,10,10296.54,3,0,0,98815.07,1
15600250,760,Spain,Female,18,1,196304.26,2,1,0,129934.78,0
15600251,751,Germany,Male,65,4,91055.56,1,1,1,120961.49,0
15600252,389,France,Male,53,8,58204.85,1,0,1,189810.08,0
15600253,352,Germany,Female,50,5,4819.34,1,1,0,186444.3,0
15600254,656,Spain,Female,74,5,51328.54,4,1,1,40318.73,0
15600255,619,France,Female,66,2,73159.93,2,1,1,130547.54,0
15600256,409,France,Female,28,4,128915.87,3,1,1,16516.07,0
15600257,740,Germany,Female,49,0,2523.03,2,1,1,73317.64,0
15600258,501,Spain,Female,38,2,53618.22,4,0,0,37781.53,0
15600259,798,France,Female,54,1,87815.7,4,1,0,160579.54,0
15600260,723,France,Female,68,1,76813.14,3,0,0,51397.19,1
15600261,721,Germany,Female,36,10,39150.49,1,1,0,120539.41,1
15600262,699,Germany,Male,74,7,89666.41,3,1,1,29673.27,0
15600263,609,France,Male,62,4,152714.61,2,0,1,30266.38,0
15600264,633,France,Male,40,9,3431.82,1,1,1,12255.33,1
15600265,589,Germany,Female,62,8,12469.48,4,1,1,23933.35,1
15600266,551,Spain,Female,33,9,145642.05,4,0,1,198940.46,0
15600267,732,France,Male,47,6,31922.9,3,0,0,155663.47,1
15600268,699,Spain,Female,48,2,38744.36,4,1,0,42425.58,0
15600269,783,France,Female,19,0,93554.79,3,0,0,190638.34,0
15600270,665,France,Male,35,6,250000.0,2,1,1,152820.19,0
15600271,433,Spain,Male,62,2,105386.51,4,0,1,15497.82,0
15600272,766,France,Female,26,1,35741.61,1,0,1,119891.33,0
15600273,755,Germany,Male,31,1,45060.66,4,1,0,11931.06,0
15600274,818,France,Male,24,0,85365.53,1,1,0,161761.81,0
15600275,801,France,Male,42,4,56059.22,4,1,1,61115.41,0
15600276,461,France,Female,27,4,50476.24,3,1,0,135657.41,0
15600277,733,France,Male,72,7,58630.56,4,1,0,15092.54,0
15600278,677,France,Female,21,9,91768.71,3,1,0,70055.1,0
15600279,669,France,Female,52,6,41250.04,3,1,1,38600.44,0
15600280,814,Germany,Female,70,4,14824.72,1,1,0,70530.7,1
15600281,591,Spain,Female,46,10,70513.02,1,1,0,164769.27,0
15600282,414,Spain,Male,30,5,35313.84,3,1,0,183977.4,0
15600283,565,Spain,Female,71,10,54277.14,2,1,1,188575.54,0
15600284,686,France,Male,32,8,250000.0,3,0,0,161042.34,0
15600285,506,Germany,Female,31,2,20290.3,1,0,0,94676.33,0
15600286,356,Germany,Female,39,10,71324.23,3,1,1,77168.12,0
15600287,691,France,Female,26,10,136078.67,1,0,1,122104.36,1
15600288,362,France,Female,61,10,38831.68,1,1,0,20747.68,0
15600289,683,Germany,Male,42,9,83532.29,3,1,0,180448.58,0
15600290,793,France,Male,20,10,29341.07,2,0,1,105818.46,0
15600291,730,Germany,Female,58,8,18473.29,1,1,0,194986.84,0
15600292,488,Spain,Male,26,3,46731.23,2,0,0,42369.71,0
15600293,492,Germany,Female,59,2,117963.39,2,1,0,118449.36,0
15600294,695,Spain,Female,73,0,65722.76,4,1,0,192179.82,0
15600295,604,France,Male,44,10,144920.63,4,1,1,66362.6,0
15600296,648,Germany,Male,35,5,27810.13,2,1,1,135767.4,0
15600297,567,Spain,Male,36,6,138949.56,3,0,0,106287.61,0
15600298,523,Germany,Male,67,0,220410.14,4,1,0,187867.37,0
15600299,546,France,Male,20,0,37961.87,4,1,1,132209.52,0
15600300,623,Spain,Female,46,10,208475.03,3,1,1,154185.65,0
15600301,841,Spain,Female,32,4,171022.01,2,1,1,90357.83,0
15600302,670,France,Male,53,5,6549.5,2,1,0,82679.46,0
15600303,735,France,Female,56,7,95406.55,2,1,0,42951.09,0
15600304,472,Germany,Male,54,2,133053.88,3,0,1,60824.88,0
15600305,480,France,Male,21,5,38133.3,3,1,0,77333.14,0
15600306,706,Germany,Female,63,2,34064.08,4,1,1,63033.52,0
15600307,463,France,Female,23,2,165095.19,3,1,1,121073.67,0
15600308,772,France,Female,54,0,46350.71,4,0,0,56765.75,0
15600309,541,France,Male,69,8,90701.05,4,1,0,37740.78,0
15600310,813,France,Female,26,3,51796.64,3,1,1,162917.01,0
15600311,721,France,Female,34,4,31108.4,3,0,1,93550.65,0
15600312,767,France,Female,59,3,140442.35,3,0,0,120437.74,0
15600313,686,Spain,Female,48,3,53765.52,3,0,0,122507.76,1
15600314,562,Spain,Female,37,8,24318.9,4,1,1,175864.98,0
15600315,378,France,Male,67,5,250000.0,3,1,1,119207.86,1
15600316,369,Germany,Female,69,2,12798.0,3,1,1,61411.93,1
15600317,700,France,Male,45,6,11130.36,1,1,0,198907.18,1
15600318,471,France,Female,68,7,185350.92,4,0,0,32447.41,0
15600319,548,Germany,Female,20,3,186476.12,2,0,0,174509.54,0
15600320,847,France,Male,67,6,114768.88,3,0,0,144397.81,1
15600321,558,France,Female,62,4,13091.96,2,1,1,33203.18,0
15600322,493,France,Female,72,2,111425.68,4,1,1,74666.89,0
15600323,438,Spain,Female,74,9,15040.07,1,0,0,193629.1,1
15600324,767,France,Female,38,6,4917.99,3,1,1,145833.7,1
15600325,628,Germany,Female,22,4,30619.26,2,1,1,166082.0,0
15600326,838,Germany,Male,22,2,99033.73,3,0,1,53440.28,0
15600327,837,Spain,Female,40,7,31705.96,2,0,1,32119.27,1
15600328,520,Spain,Male,71,6,100855.65,1,1,1,192995.46,0
15600329,385,France,Female,74,1,220058.71,4,1,1,109292.59,0
15600330,565,Spain,Female,29,3,70017.18,1,1,1,34096.41,1
15600331,616,Germany,Female,43,5,2959.94,2,1,1,121350.28,0
15600332,351,France,Male,37,1,3437.59,4,1,0,154341.36,0
15600333,825,France,Male,19,7,13965.37,1,1,1,48848.22,0
15600334,577,France,Male,36,5,88892.1,1,1,0,26581.51,1
15600335,573,Germany,Male,22,10,29564.52,1,0,1,163789.57,1
15600336,803,France,Male,35,0,37137.84,2,1,0,130778.86,0
15600337,435,France,Male,38,2,34814.81,3,1,1,19609.15,0
15600338,524,France,Female,68,10,36402.91,3,0,1,50144.46,0
15600339,685,Germany,Male,23,8,77002.88,1,1,1,119464.36,0
15600340,809,France,Male,67,10,70120.26,3,1,0,193713.23,0
15600341,490,France,Male,66,8,162061.48,4,1,0,47521.97,1
15600342,775,Spain,Male,30,9,250000.0,4,1,1,48432.83,0
15600343,536,France,Male,45,4,146756.86,2,1,1,110012.87,0
15600344,779,France,Female,25,4,118618.07,4,0,0,181155.63,0
15600345,607,France,Male,44,6,37068.9,1,1,1,199130.87,0
15600346,364,Germany,Female,67,3,197045.16,2,1,1,15113.37,1
15600347,716,Germany,Female,30,7,36294.5,3,1,1,135327.77,0
15600348,799,Germany,Male,45,7,5262.68,4,1,0,36538.58,0
15600349,819,France,Female,59,6,56766.86,4,1,0,65575.88,1
15600350,555,Germany,Female,46,9,24499.27,3,1,1,12337.71,0
15600351,699,Germany,Male,18,3,53039.86,4,1,0,88004.07,0
15600352,627,France,Male,31,0,91393.0,4,0,1,122862.91,0
15600353,841,Spain,Male,27,2,158706.06,1,1,0,11567.29,1
15600354,746,Germany,Female,38,0,23117.04,1,1,0,94807.27,0
15600355,475,Germany,Male,62,6,202740.99,4,1,0,70428.19,0
15600356,550,Spain,Female,59,0,250000.0,1,0,0,10978.04,0
15600357,770,Spain,Male,44,7,17980.74,1,0,0,102886.17,1
15600358,374,Spain,Female,56,4,34101.56,3,0,0,162870.1,1
15600359,774,Germany,Female,73,4,100535.42,1,0,1,186896.05,0
15600360,561,France,Female,38,0,36978.99,3,1,0,150393.28,1
15600361,669,Spain,Female,69,0,19973.93,4,1,1,155962.14,0
15600362,599,France,Male,34,1,41339.9,3,1,0,152206.11,0
15600363,620,France,Male,45,2,97530.87,4,1,0,56167.16,0
15600364,757,France,Male,69,0,1370.23,2,0,0,78065.98,0
15600365,587,Germany,Female,63,0,88507.72,3,1,0,93891.58,0
15600366,407,France,Female,47,0,184742.73,3,1,1,52246.91,0
15600367,710,France,Female,44,1,250000.0,1,1,0,76518.63,1
15600368,630,France,Female,37,7,23463.82,4,0,0,135807.35,0
15600369,592,Spain,Female,53,0,109410.77,1,1,1,44798.53,0
15600370,478,France,Male,56,7,14639.9,4,0,1,14285.4,0
15600371,771,France,Female,49,10,21207.92,2,1,0,110538.4,0
15600372,483,Spain,Female,74,5,86308.45,1,1,1,136167.74,0
15600373,743,France,Male,60,4,136510.22,1,0,1,92440.49,0
15600374,449,France,Male,22,8,7911.13,2,1,1,69651.39,0
15600375,473,France,Female,65,0,38825.77,1,1,1,169894.85,0
15600376,550,Spain,Female,58,0,161103.52,4,0,1,144425.84,0
15600377,404,France,Male,52,9,112030.42,1,0,1,116147.08,0
15600378,651,France,Male,68,10,4222.32,1,1,1,90822.32,0
15600379,444,France,Female,66,3,41857.46,2,1,0,144235.52,1
15600380,448,Spain,Female,56,8,41352.26,1,0,0,181270.3,1
15600381,607,Germany,Female,72,3,85372.52,4,0,0,101926.37,0
15600382,631,Germany,Female,39,8,7677.81,1,1,0,119522.13,1
15600383,772,Spain,Female,26,8,36110.84,1,0,1,134422.89,1
15600384,783,Germany,Male,59,8,188956.48,1,1,1,97494.96,0
15600385,472,Spain,Male,69,1,6668.94,1,1,1,104344.48,1
15600386,776,France,Male,29,2,10645.29,2,1,0,17885.23,0
15600387,846,Spain,Female,33,0,72785.82,2,0,0,185335.12,0
15600388,584,Spain,Male,26,5,36323.29,4,0,1,190203.22,0
15600389,817,France,Male,35,5,1224.12,4,1,0,187314.84,0
15600390,735,Germany,Female,71,7,22563.84,4,1,1,22064.04,0
15600391,631,Germany,Female,67,0,65911.08,4,1,0,10192.69,0
15600392,647,Germany,Female,47,8,141788.43,3,0,0,21306.97,1
15600393,368,Germany,Female,20,8,83448.69,3,1,1,118370.02,0
15600394,483,Germany,Female,73,5,437.95,1,1,1,90491.71,0
15600395,698,France,Female,50,8,19239.09,4,1,0,198297.09,1
15600396,691,Spain,Female,45,2,12448.23,3,1,0,158873.34,1
15600397,683,Germany,Female,33,3,48958.35,1,1,1,137627.02,0
15600398,392,Spain,Female,45,9,29517.15,3,1,0,34262.03,1
15600399,555,France,Female,42,3,65017.46,1,1,1,82583.12,0
15600400,390,Spain,Male,56,4,17504.34,2,1,0,176255.34,1
15600401,708,France,Female,58,0,96081.35,1,0,0,148559.2,0
15600402,520,France,Female,47,2,43196.75,4,0,0,15396.73,0
15600403,513,Germany,Male,52,9,35296.9,4,1,0,70784.3,0
15600404,476,France,Female,43,1,92739.07,2,0,0,130440.82,0
15600405,385,Germany,Female,59,5,95431.51,2,1,1,109596.47,0
15600406,711,Spain,Female,61,4,8406.49,4,1,0,197354.41,1
15600407,491,Spain,Female,22,9,170703.22,1,1,0,112739.65,1
